Unit;ADR13;ADR15;ADR16;Ocurrences;Class DeF
org.apache.flink.api.common.state.ListStateDescriptor;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.state.MapStateDescriptor;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.state.ReducingStateDescriptor;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.state.StateDescriptor;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.state.StateTtlConfig;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.state.StateTtlConfig$Builder;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.state.StateTtlConfig$CleanupStrategies;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.state.ValueStateDescriptor;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.time.Deadline;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.time.Time;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeinfo.BasicArrayTypeInfo;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeinfo.BasicTypeInfo;1.0;0.0;0.0;1.0;0.3333333333333333
org.apache.flink.api.common.typeinfo.FractionalTypeInfo;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeinfo.IntegerTypeInfo;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeinfo.NothingTypeInfo;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeinfo.NumericTypeInfo;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeinfo.PrimitiveArrayTypeInfo;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeinfo.SqlTimeTypeInfo;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeinfo.TypeHint;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeinfo.TypeInfoFactory;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeinfo.Types;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.CompatibilityResult;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.CompatibilityUtil;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.CompositeSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.CompositeSerializer$ConfigSnapshot;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.CompositeSerializer$PrecomputedParameters;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.CompositeType;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.CompositeType$FlatFieldDescriptor;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.CompositeType$InvalidFieldReferenceException;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.CompositeTypeComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.CompositeTypeSerializerConfigSnapshot;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.GenericPairComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.GenericTypeSerializerConfigSnapshot;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.ParameterlessTypeSerializerConfig;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.SameTypePairComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.TypeDeserializerAdapter;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.TypePairComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.TypeSerializerConfigSnapshot;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.TypeSerializerSerializationUtil;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.TypeSerializerSerializationUtil$TypeSerializerConfigSnapshotSerializationProxy;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.TypeSerializerSerializationUtil$TypeSerializerSerializationProxy;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.UnloadableDummyTypeSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.UnloadableTypeSerializerException;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.BasicTypeComparator;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.BigDecComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.BigDecSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.BigIntComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.BigIntSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.BooleanComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.BooleanSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.BooleanValueComparator;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.BooleanValueSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.ByteComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.ByteSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.ByteValueComparator;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.ByteValueSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.CharComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.CharSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.CharValueComparator;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.CharValueSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.CollectionSerializerConfigSnapshot;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.DateComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.DateSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.DoubleComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.DoubleSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.DoubleValueComparator;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.DoubleValueSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.EnumComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.EnumSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.EnumSerializer$EnumSerializerConfigSnapshot;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.FloatComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.FloatSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.FloatValueComparator;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.FloatValueSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.GenericArraySerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.GenericArraySerializerConfigSnapshot;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.IntComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.IntSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.IntValueComparator;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.IntValueSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.ListSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.LongComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.LongSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.LongValueComparator;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.LongValueSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.MapSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.MapSerializerConfigSnapshot;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.NullValueComparator;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.NullValueSerializer;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.ShortComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.ShortSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.ShortValueComparator;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.ShortValueSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.SqlDateSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.SqlTimeSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.SqlTimestampComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.SqlTimestampSerializer;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.StringComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.StringSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.StringValueComparator;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.StringValueSerializer;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.typeutils.base.VoidSerializer;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.array.BooleanPrimitiveArrayComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.array.BooleanPrimitiveArraySerializer;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.array.BytePrimitiveArrayComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.array.BytePrimitiveArraySerializer;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.array.CharPrimitiveArrayComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.array.CharPrimitiveArraySerializer;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.array.DoublePrimitiveArrayComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.array.DoublePrimitiveArraySerializer;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.array.FloatPrimitiveArrayComparator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.array.FloatPrimitiveArraySerializer;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.typeutils.base.array.IntPrimitiveArrayComparator;1.0;1.0;1.0;3.0;1.0
